student_id,course_id,term,grade_letter,grade_value,student_rating
S1005,COURSE1047,Spring 2025,B,3.0,
S1005,COURSE1038,Fall 2025,A,4.0,5.0
S1005,COURSE1065,Fall 2023,A,4.0,
S1005,COURSE1002,Fall 2023,B+,3.3,4.0
S1005,COURSE1011,Fall 2023,B+,3.3,1.0
S1005,COURSE1092,Fall 2024,C+,2.3,
S1005,COURSE1074,Fall 2023,C,2.0,4.0
S1005,COURSE1083,Fall 2023,C+,2.3,4.0
S1005,COURSE1037,Spring 2024,A,4.0,
S1005,COURSE1098,Fall 2025,B+,3.3,3.0
S1005,COURSE1041,Spring 2025,B-,2.7,
S1005,COURSE1099,Spring 2024,B,3.0,
S1005,COURSE1055,Fall 2023,D+,1.3,
S1005,COURSE1085,Spring 2023,D+,1.3,5.0
S1005,COURSE1069,Spring 2024,A-,3.7,1.0
S1005,COURSE1081,Fall 2025,B+,3.3,
S1006,COURSE1005,Spring 2024,C,2.0,5.0
S1006,COURSE1077,Fall 2024,C-,1.7,
S1006,COURSE1050,Fall 2025,D+,1.3,3.0
S1006,COURSE1041,Spring 2024,A-,3.7,4.0
S1006,COURSE1059,Spring 2024,A-,3.7,2.0
S1006,COURSE1032,Spring 2025,B-,2.7,
S1006,COURSE1068,Spring 2024,C-,1.7,3.0
S1006,COURSE1014,Spring 2024,B,3.0,4.0
S1006,COURSE1086,Fall 2025,C,2.0,3.0
S1006,COURSE1069,Spring 2024,C,2.0,4.0
S1006,COURSE1003,Spring 2025,A-,3.7,
S1006,COURSE1076,Fall 2024,B+,3.3,5.0
S1006,COURSE1084,Fall 2025,C,2.0,4.0
S1006,COURSE1061,Spring 2025,B+,3.3,5.0
S1007,COURSE1074,Spring 2024,D+,1.3,
S1007,COURSE1083,Spring 2024,B-,2.7,3.0
S1007,COURSE1065,Spring 2024,A,4.0,3.0
S1007,COURSE1002,Fall 2024,A-,3.7,3.0
S1007,COURSE1047,Fall 2025,A,4.0,3.0
S1007,COURSE1092,Fall 2024,A,4.0,
S1007,COURSE1038,Fall 2025,C+,2.3,1.0
S1007,COURSE1011,Fall 2024,A-,3.7,4.0
S1007,COURSE1020,Spring 2024,A-,3.7,
S1007,COURSE1056,Fall 2024,C,2.0,2.0
S1007,COURSE1029,Spring 2025,C,2.0,3.0
S1007,COURSE1004,Fall 2025,C-,1.7,4.0
S1007,COURSE1000,Fall 2024,C,2.0,3.0
S1007,COURSE1016,Fall 2024,A,4.0,5.0
S1007,COURSE1089,Fall 2025,B-,2.7,1.0
S1007,COURSE1060,Fall 2024,B+,3.3,1.0
S1008,COURSE1084,Fall 2025,A-,3.7,4.0
S1008,COURSE1003,Fall 2024,C-,1.7,
S1008,COURSE1012,Fall 2025,B,3.0,4.0
S1008,COURSE1021,Spring 2024,D,1.0,4.0
S1008,COURSE1057,Spring 2024,B-,2.7,
S1008,COURSE1039,Spring 2024,A-,3.7,3.0
S1008,COURSE1093,Spring 2024,B-,2.7,
S1008,COURSE1048,Fall 2025,B-,2.7,
S1008,COURSE1066,Fall 2024,B+,3.3,
S1008,COURSE1030,Fall 2025,B,3.0,5.0
S1008,COURSE1075,Spring 2024,C,2.0,1.0
S1008,COURSE1063,Fall 2024,C+,2.3,4.0
S1008,COURSE1025,Spring 2024,B+,3.3,3.0
S1008,COURSE1051,Spring 2025,B-,2.7,
S1008,COURSE1049,Spring 2024,D+,1.3,1.0
S1008,COURSE1077,Fall 2025,C-,1.7,2.0
S1008,COURSE1026,Fall 2025,D+,1.3,5.0
S1009,COURSE1099,Spring 2023,A-,3.7,2.0
S1009,COURSE1027,Spring 2025,D,1.0,4.0
S1009,COURSE1036,Fall 2023,B-,2.7,
S1009,COURSE1063,Fall 2024,B+,3.3,4.0
S1009,COURSE1000,Spring 2025,A-,3.7,3.0
S1009,COURSE1045,Spring 2024,D+,1.3,2.0
S1009,COURSE1090,Spring 2025,B-,2.7,
S1009,COURSE1054,Spring 2023,C,2.0,
S1009,COURSE1081,Spring 2023,A-,3.7,
S1009,COURSE1018,Fall 2024,B,3.0,4.0
S1009,COURSE1072,Spring 2023,C-,1.7,2.0
S1009,COURSE1009,Fall 2023,C-,1.7,1.0
S1009,COURSE1034,Fall 2023,C,2.0,2.0
S1009,COURSE1097,Spring 2024,A,4.0,
S1009,COURSE1086,Fall 2024,C+,2.3,2.0
S1009,COURSE1059,Fall 2025,A-,3.7,3.0
S1009,COURSE1046,Spring 2025,B,3.0,4.0
S1009,COURSE1084,Fall 2025,B-,2.7,5.0
S1009,COURSE1037,Fall 2025,C-,1.7,1.0
S1009,COURSE1014,Fall 2023,C,2.0,2.0
S1010,COURSE1054,Spring 2025,C-,1.7,
S1010,COURSE1027,Fall 2025,B-,2.7,
S1010,COURSE1000,Spring 2025,C-,1.7,2.0
S1010,COURSE1081,Fall 2025,B-,2.7,1.0
S1010,COURSE1016,Spring 2025,C-,1.7,
S1010,COURSE1032,Spring 2025,D+,1.3,2.0
S1010,COURSE1091,Spring 2025,B+,3.3,
S1011,COURSE1004,Spring 2024,B-,2.7,
S1011,COURSE1067,Fall 2024,C-,1.7,
S1011,COURSE1076,Fall 2025,A,4.0,1.0
S1011,COURSE1085,Spring 2023,B,3.0,3.0
S1011,COURSE1094,Spring 2023,B+,3.3,
S1011,COURSE1058,Spring 2024,A,4.0,4.0
S1011,COURSE1013,Fall 2023,B+,3.3,
S1011,COURSE1031,Spring 2024,A,4.0,
S1011,COURSE1022,Fall 2024,B-,2.7,1.0
S1011,COURSE1040,Spring 2025,C,2.0,
S1011,COURSE1049,Spring 2023,B+,3.3,2.0
S1011,COURSE1071,Fall 2025,C,2.0,5.0
S1011,COURSE1005,Fall 2023,C,2.0,3.0
S1011,COURSE1037,Fall 2024,A,4.0,5.0
S1011,COURSE1025,Spring 2025,B,3.0,4.0
S1011,COURSE1044,Spring 2025,B-,2.7,1.0
S1011,COURSE1012,Spring 2023,A,4.0,
S1011,COURSE1006,Spring 2025,C+,2.3,
S1011,COURSE1034,Fall 2023,D+,1.3,3.0
S1012,COURSE1050,Spring 2025,D+,1.3,
S1012,COURSE1059,Fall 2025,C,2.0,4.0
S1012,COURSE1032,Spring 2025,A-,3.7,
S1012,COURSE1086,Fall 2025,A-,3.7,2.0
S1012,COURSE1077,Fall 2025,C+,2.3,3.0
S1012,COURSE1014,Fall 2025,B,3.0,5.0
S1012,COURSE1041,Spring 2025,A-,3.7,
S1012,COURSE1076,Fall 2025,B-,2.7,4.0
S1012,COURSE1034,Fall 2025,A,4.0,5.0
S1012,COURSE1063,Spring 2025,B-,2.7,2.0
S1013,COURSE1030,Spring 2024,A-,3.7,4.0
S1013,COURSE1003,Spring 2025,B-,2.7,3.0
S1013,COURSE1012,Spring 2024,B+,3.3,5.0
S1013,COURSE1039,Spring 2025,B-,2.7,
S1013,COURSE1066,Spring 2024,C-,1.7,
S1013,COURSE1057,Fall 2025,C+,2.3,
S1013,COURSE1093,Fall 2024,A,4.0,5.0
S1013,COURSE1075,Fall 2024,A-,3.7,3.0
S1013,COURSE1048,Spring 2025,A,4.0,4.0
S1013,COURSE1021,Fall 2025,B,3.0,1.0
S1013,COURSE1084,Fall 2024,B+,3.3,
S1013,COURSE1015,Fall 2025,C+,2.3,5.0
S1013,COURSE1042,Fall 2025,B+,3.3,3.0
S1013,COURSE1055,Spring 2024,C+,2.3,5.0
S1013,COURSE1086,Fall 2024,B+,3.3,
S1013,COURSE1052,Spring 2024,B-,2.7,
S1013,COURSE1018,Fall 2025,C+,2.3,3.0
S1014,COURSE1043,Spring 2023,C+,2.3,2.0
S1014,COURSE1034,Fall 2025,A-,3.7,1.0
S1014,COURSE1052,Spring 2022,B+,3.3,
S1014,COURSE1007,Fall 2022,C+,2.3,2.0
S1014,COURSE1025,Spring 2025,A-,3.7,4.0
S1014,COURSE1016,Fall 2024,D,1.0,3.0
S1014,COURSE1079,Spring 2025,A-,3.7,3.0
S1014,COURSE1088,Spring 2025,C+,2.3,2.0
S1014,COURSE1070,Fall 2023,B-,2.7,
S1014,COURSE1061,Fall 2025,B+,3.3,3.0
S1014,COURSE1097,Fall 2023,B,3.0,1.0
S1014,COURSE1067,Spring 2024,C+,2.3,3.0
S1014,COURSE1094,Spring 2022,C+,2.3,4.0
S1014,COURSE1071,Fall 2022,A,4.0,
S1014,COURSE1046,Fall 2024,D+,1.3,2.0
S1014,COURSE1022,Spring 2024,F,0.0,2.0
S1014,COURSE1015,Spring 2024,D+,1.3,4.0
S1014,COURSE1086,Fall 2024,A,4.0,5.0
S1014,COURSE1083,Spring 2024,B,3.0,4.0
S1014,COURSE1098,Spring 2022,A,4.0,
S1014,COURSE1095,Fall 2024,C,2.0,5.0
S1015,COURSE1051,Fall 2024,B,3.0,5.0
S1015,COURSE1069,Fall 2022,D,1.0,4.0
S1015,COURSE1015,Fall 2024,D+,1.3,3.0
S1015,COURSE1078,Fall 2023,D+,1.3,3.0
S1015,COURSE1060,Fall 2022,D,1.0,5.0
S1015,COURSE1006,Fall 2022,C+,2.3,2.0
S1015,COURSE1033,Fall 2022,C-,1.7,5.0
S1015,COURSE1042,Fall 2024,A-,3.7,
S1015,COURSE1096,Fall 2025,C-,1.7,2.0
S1015,COURSE1087,Spring 2025,B+,3.3,
S1015,COURSE1024,Spring 2022,B+,3.3,
S1015,COURSE1054,Fall 2025,B-,2.7,
S1015,COURSE1050,Spring 2023,D,1.0,3.0
S1015,COURSE1080,Fall 2025,A-,3.7,
S1015,COURSE1037,Fall 2022,A-,3.7,5.0
S1015,COURSE1009,Fall 2025,A,4.0,5.0
S1015,COURSE1001,Spring 2022,B,3.0,3.0
S1015,COURSE1049,Spring 2024,B,3.0,3.0
S1015,COURSE1027,Spring 2024,B+,3.3,3.0
S1015,COURSE1072,Fall 2025,B+,3.3,
S1015,COURSE1097,Fall 2024,F,0.0,5.0
S1015,COURSE1092,Spring 2023,D+,1.3,4.0
S1016,COURSE1070,Spring 2025,A-,3.7,
S1016,COURSE1016,Fall 2025,A-,3.7,2.0
S1016,COURSE1052,Fall 2025,F,0.0,1.0
S1016,COURSE1061,Fall 2023,B+,3.3,
S1016,COURSE1007,Spring 2024,B,3.0,4.0
S1016,COURSE1043,Spring 2025,B,3.0,5.0
S1016,COURSE1079,Fall 2025,A-,3.7,2.0
S1016,COURSE1088,Spring 2025,D+,1.3,1.0
S1016,COURSE1034,Fall 2025,B+,3.3,1.0
S1016,COURSE1097,Spring 2023,C+,2.3,
S1016,COURSE1025,Fall 2025,C+,2.3,2.0
S1016,COURSE1074,Fall 2023,B+,3.3,4.0
S1016,COURSE1081,Fall 2025,A-,3.7,1.0
S1016,COURSE1091,Fall 2025,B+,3.3,1.0
S1016,COURSE1080,Fall 2025,B-,2.7,
S1016,COURSE1055,Fall 2025,A-,3.7,3.0
S1016,COURSE1077,Spring 2024,A,4.0,3.0
S1016,COURSE1009,Fall 2024,A,4.0,5.0
S1017,COURSE1000,Spring 2025,B-,2.7,3.0
S1017,COURSE1027,Fall 2025,C-,1.7,2.0
S1017,COURSE1099,Fall 2025,B,3.0,
S1017,COURSE1081,Fall 2025,A-,3.7,
S1017,COURSE1007,Spring 2025,C,2.0,5.0
S1017,COURSE1089,Spring 2025,B+,3.3,5.0
S1018,COURSE1006,Fall 2025,C-,1.7,
S1018,COURSE1078,Spring 2025,A,4.0,
S1018,COURSE1015,Spring 2025,B-,2.7,4.0
S1018,COURSE1069,Spring 2025,B-,2.7,4.0
S1018,COURSE1060,Spring 2025,D+,1.3,4.0
S1018,COURSE1054,Fall 2025,B+,3.3,4.0
S1018,COURSE1020,Fall 2025,C-,1.7,2.0
S1018,COURSE1088,Spring 2025,B-,2.7,1.0
S1019,COURSE1031,Spring 2024,C,2.0,2.0
S1019,COURSE1004,Fall 2022,B-,2.7,
S1019,COURSE1085,Spring 2023,B+,3.3,
S1019,COURSE1058,Fall 2025,C,2.0,3.0
S1019,COURSE1040,Spring 2023,B,3.0,3.0
S1019,COURSE1022,Spring 2023,A-,3.7,1.0
S1019,COURSE1094,Fall 2024,A-,3.7,2.0
S1019,COURSE1067,Fall 2023,C-,1.7,1.0
S1019,COURSE1076,Spring 2023,B,3.0,
S1019,COURSE1049,Spring 2023,A-,3.7,2.0
S1019,COURSE1013,Spring 2025,B+,3.3,4.0
S1019,COURSE1064,Spring 2023,B-,2.7,2.0
S1019,COURSE1006,Fall 2024,B,3.0,3.0
S1019,COURSE1027,Spring 2022,A-,3.7,1.0
S1019,COURSE1037,Spring 2024,D+,1.3,3.0
S1019,COURSE1016,Spring 2025,B+,3.3,3.0
S1019,COURSE1078,Spring 2025,D+,1.3,
S1019,COURSE1084,Spring 2023,C+,2.3,1.0
S1019,COURSE1041,Spring 2025,B+,3.3,4.0
S1019,COURSE1009,Spring 2024,D+,1.3,4.0
S1019,COURSE1007,Fall 2024,C,2.0,1.0
S1020,COURSE1009,Spring 2025,D+,1.3,4.0
S1020,COURSE1081,Fall 2025,B+,3.3,4.0
S1020,COURSE1063,Spring 2024,C-,1.7,1.0
S1020,COURSE1018,Fall 2024,B-,2.7,1.0
S1020,COURSE1036,Fall 2025,B+,3.3,3.0
S1020,COURSE1099,Fall 2024,B+,3.3,2.0
S1020,COURSE1072,Fall 2025,B,3.0,2.0
S1020,COURSE1000,Fall 2024,B+,3.3,4.0
S1020,COURSE1090,Spring 2024,C+,2.3,
S1020,COURSE1045,Fall 2024,D+,1.3,3.0
S1020,COURSE1054,Spring 2024,B-,2.7,
S1020,COURSE1044,Fall 2024,C+,2.3,5.0
S1020,COURSE1017,Fall 2024,D,1.0,3.0
S1020,COURSE1074,Fall 2024,D+,1.3,5.0
S1020,COURSE1041,Fall 2024,B+,3.3,2.0
S1020,COURSE1037,Spring 2025,B,3.0,
S1021,COURSE1057,Spring 2025,F,0.0,1.0
S1021,COURSE1030,Fall 2025,A-,3.7,1.0
S1021,COURSE1039,Spring 2025,B-,2.7,5.0
S1021,COURSE1048,Fall 2025,B,3.0,4.0
S1021,COURSE1087,Spring 2025,F,0.0,
S1021,COURSE1079,Fall 2025,C+,2.3,5.0
S1021,COURSE1064,Spring 2025,B-,2.7,1.0
S1022,COURSE1032,Fall 2023,C-,1.7,1.0
S1022,COURSE1086,Fall 2024,C-,1.7,
S1022,COURSE1050,Fall 2025,B,3.0,3.0
S1022,COURSE1068,Fall 2025,D,1.0,3.0
S1022,COURSE1041,Fall 2024,B+,3.3,4.0
S1022,COURSE1095,Fall 2023,B+,3.3,
S1022,COURSE1023,Fall 2025,C+,2.3,5.0
S1022,COURSE1059,Fall 2024,B-,2.7,
S1022,COURSE1077,Spring 2023,D,1.0,1.0
S1022,COURSE1005,Fall 2024,A,4.0,3.0
S1022,COURSE1014,Fall 2024,A,4.0,
S1022,COURSE1028,Fall 2025,B,3.0,4.0
S1022,COURSE1078,Fall 2025,A,4.0,
S1022,COURSE1093,Fall 2023,A-,3.7,4.0
S1022,COURSE1063,Fall 2023,D+,1.3,4.0
S1022,COURSE1048,Fall 2023,B+,3.3,4.0
S1022,COURSE1040,Spring 2024,A-,3.7,1.0
S1022,COURSE1089,Spring 2023,B-,2.7,
S1022,COURSE1073,Fall 2024,B-,2.7,2.0
S1023,COURSE1045,Fall 2025,B+,3.3,
S1023,COURSE1081,Fall 2024,B+,3.3,
S1023,COURSE1063,Spring 2024,C-,1.7,4.0
S1023,COURSE1072,Fall 2025,C,2.0,
S1023,COURSE1009,Spring 2023,C,2.0,
S1023,COURSE1000,Spring 2025,B+,3.3,
S1023,COURSE1054,Fall 2023,B-,2.7,2.0
S1023,COURSE1090,Fall 2025,A,4.0,2.0
S1023,COURSE1018,Fall 2023,C-,1.7,2.0
S1023,COURSE1036,Fall 2024,A,4.0,
S1023,COURSE1099,Spring 2024,B-,2.7,2.0
S1023,COURSE1027,Fall 2023,B-,2.7,4.0
S1023,COURSE1061,Fall 2025,B+,3.3,3.0
S1023,COURSE1023,Spring 2024,A-,3.7,5.0
S1023,COURSE1007,Spring 2024,B,3.0,1.0
S1023,COURSE1039,Spring 2025,B-,2.7,3.0
S1023,COURSE1020,Spring 2025,A,4.0,3.0
S1023,COURSE1093,Fall 2023,B+,3.3,
S1023,COURSE1047,Fall 2025,C-,1.7,4.0
S1024,COURSE1090,Fall 2025,B+,3.3,1.0
S1024,COURSE1063,Spring 2024,A,4.0,2.0
S1024,COURSE1036,Spring 2025,B-,2.7,
S1024,COURSE1072,Spring 2024,C+,2.3,3.0
S1024,COURSE1081,Fall 2025,B-,2.7,2.0
S1024,COURSE1009,Spring 2024,C+,2.3,2.0
S1024,COURSE1018,Spring 2024,B-,2.7,
S1024,COURSE1000,Fall 2025,C,2.0,2.0
S1024,COURSE1027,Spring 2024,C-,1.7,
S1024,COURSE1099,Spring 2024,D+,1.3,1.0
S1024,COURSE1054,Fall 2024,C-,1.7,1.0
S1024,COURSE1064,Spring 2025,C-,1.7,4.0
S1024,COURSE1037,Spring 2025,B,3.0,1.0
S1024,COURSE1061,Spring 2024,C+,2.3,2.0
S1024,COURSE1070,Fall 2024,A,4.0,
S1024,COURSE1019,Fall 2024,B-,2.7,2.0
S1024,COURSE1041,Fall 2024,B,3.0,2.0
S1025,COURSE1010,Fall 2025,D+,1.3,
S1025,COURSE1064,Spring 2025,D,1.0,4.0
S1025,COURSE1037,Fall 2025,A-,3.7,3.0
S1025,COURSE1091,Spring 2025,A-,3.7,1.0
S1025,COURSE1019,Spring 2025,B,3.0,2.0
S1025,COURSE1054,Spring 2025,B,3.0,
S1025,COURSE1067,Fall 2025,D,1.0,5.0
S1025,COURSE1051,Spring 2025,B-,2.7,4.0
S1026,COURSE1061,Fall 2025,C-,1.7,5.0
S1026,COURSE1070,Fall 2024,D+,1.3,
S1026,COURSE1016,Spring 2025,B,3.0,4.0
S1026,COURSE1043,Spring 2024,B+,3.3,4.0
S1026,COURSE1088,Spring 2025,C,2.0,3.0
S1026,COURSE1052,Fall 2025,A,4.0,3.0
S1026,COURSE1097,Spring 2025,A,4.0,
S1026,COURSE1025,Fall 2024,B,3.0,
S1026,COURSE1034,Spring 2024,B-,2.7,1.0
S1026,COURSE1079,Fall 2025,C-,1.7,3.0
S1026,COURSE1007,Spring 2025,A-,3.7,5.0
S1026,COURSE1089,Spring 2025,B-,2.7,2.0
S1026,COURSE1055,Spring 2024,A,4.0,2.0
S1026,COURSE1063,Spring 2025,A,4.0,5.0
S1026,COURSE1072,Fall 2024,C-,1.7,1.0
S1026,COURSE1001,Fall 2024,B,3.0,2.0
S1026,COURSE1013,Spring 2024,D,1.0,1.0
S1027,COURSE1020,Fall 2025,B-,2.7,5.0
S1027,COURSE1083,Fall 2024,C+,2.3,4.0
S1027,COURSE1029,Fall 2024,B+,3.3,
S1027,COURSE1065,Fall 2024,B-,2.7,1.0
S1027,COURSE1047,Fall 2024,D,1.0,3.0
S1027,COURSE1074,Fall 2025,A-,3.7,
S1027,COURSE1038,Fall 2024,A-,3.7,
S1027,COURSE1092,Spring 2024,B,3.0,
S1027,COURSE1002,Fall 2024,C-,1.7,
S1027,COURSE1051,Fall 2024,C+,2.3,1.0
S1027,COURSE1089,Fall 2024,B,3.0,5.0
S1027,COURSE1036,Fall 2025,D,1.0,
S1027,COURSE1063,Fall 2024,C,2.0,
S1027,COURSE1095,Spring 2024,C,2.0,3.0
S1028,COURSE1086,Fall 2025,A,4.0,
S1028,COURSE1005,Spring 2025,B+,3.3,
S1028,COURSE1095,Spring 2025,B+,3.3,3.0
S1028,COURSE1041,Spring 2025,A-,3.7,1.0
S1028,COURSE1077,Spring 2024,A-,3.7,2.0
S1028,COURSE1023,Fall 2024,B,3.0,3.0
S1028,COURSE1050,Spring 2024,A,4.0,
S1028,COURSE1032,Fall 2025,A,4.0,5.0
S1028,COURSE1059,Spring 2025,C,2.0,1.0
S1028,COURSE1014,Fall 2025,B-,2.7,5.0
S1028,COURSE1068,Fall 2024,C,2.0,5.0
S1028,COURSE1027,Spring 2024,B+,3.3,
S1028,COURSE1058,Spring 2025,C,2.0,
S1028,COURSE1031,Fall 2025,F,0.0,4.0
S1028,COURSE1011,Fall 2025,A,4.0,
S1028,COURSE1073,Spring 2025,B-,2.7,1.0
S1029,COURSE1070,Spring 2025,C-,1.7,
S1029,COURSE1052,Spring 2025,B-,2.7,5.0
S1029,COURSE1034,Fall 2025,A,4.0,
S1029,COURSE1025,Spring 2025,B,3.0,3.0
S1029,COURSE1088,Fall 2025,B+,3.3,4.0
S1029,COURSE1007,Spring 2025,C-,1.7,4.0
S1029,COURSE1024,Spring 2025,C-,1.7,1.0
S1029,COURSE1031,Spring 2025,C,2.0,2.0
S1029,COURSE1068,Spring 2025,F,0.0,5.0
S1030,COURSE1072,Spring 2025,B+,3.3,4.0
S1030,COURSE1018,Fall 2023,C-,1.7,
S1030,COURSE1090,Spring 2023,C+,2.3,3.0
S1030,COURSE1054,Spring 2023,C,2.0,2.0
S1030,COURSE1063,Spring 2025,A,4.0,5.0
S1030,COURSE1009,Fall 2024,C,2.0,2.0
S1030,COURSE1081,Fall 2023,B+,3.3,
S1030,COURSE1036,Fall 2024,A-,3.7,1.0
S1030,COURSE1027,Spring 2024,C-,1.7,
S1030,COURSE1000,Spring 2025,A,4.0,1.0
S1030,COURSE1045,Spring 2023,B-,2.7,
S1030,COURSE1099,Spring 2025,B+,3.3,
S1030,COURSE1060,Spring 2024,C+,2.3,3.0
S1030,COURSE1023,Fall 2024,B,3.0,2.0
S1030,COURSE1019,Spring 2024,C+,2.3,
S1030,COURSE1077,Fall 2024,A,4.0,
S1030,COURSE1079,Fall 2024,B-,2.7,4.0
S1030,COURSE1068,Fall 2023,B+,3.3,
S1030,COURSE1085,Spring 2024,A,4.0,
S1031,COURSE1098,Spring 2025,A,4.0,
S1031,COURSE1080,Spring 2025,A,4.0,3.0
S1031,COURSE1017,Fall 2025,D+,1.3,1.0
S1031,COURSE1062,Spring 2025,A,4.0,1.0
S1031,COURSE1089,Fall 2025,B,3.0,
S1031,COURSE1044,Fall 2025,C+,2.3,
S1031,COURSE1039,Spring 2025,C+,2.3,1.0
S1031,COURSE1031,Spring 2025,A-,3.7,2.0
S1031,COURSE1002,Spring 2025,B+,3.3,4.0
S1032,COURSE1057,Spring 2025,B+,3.3,5.0
S1032,COURSE1093,Fall 2025,B-,2.7,1.0
S1032,COURSE1012,Spring 2025,C+,2.3,2.0
S1032,COURSE1066,Fall 2025,C-,1.7,5.0
S1032,COURSE1039,Fall 2025,C-,1.7,1.0
S1032,COURSE1021,Fall 2025,B,3.0,1.0
S1032,COURSE1030,Spring 2025,C-,1.7,
S1032,COURSE1089,Fall 2025,C-,1.7,3.0
S1032,COURSE1015,Spring 2025,B+,3.3,2.0
S1032,COURSE1082,Fall 2025,A-,3.7,2.0
S1033,COURSE1060,Fall 2025,B,3.0,2.0
S1033,COURSE1087,Spring 2025,B-,2.7,3.0
S1033,COURSE1069,Fall 2025,B+,3.3,1.0
S1033,COURSE1006,Fall 2025,B-,2.7,4.0
S1033,COURSE1038,Spring 2025,B+,3.3,1.0
S1033,COURSE1077,Fall 2025,C,2.0,3.0
S1034,COURSE1079,Fall 2024,B-,2.7,1.0
S1034,COURSE1052,Spring 2024,A-,3.7,
S1034,COURSE1097,Spring 2024,A-,3.7,
S1034,COURSE1088,Spring 2025,B,3.0,
S1034,COURSE1025,Spring 2024,B-,2.7,1.0
S1034,COURSE1061,Fall 2024,B,3.0,
S1034,COURSE1070,Spring 2025,A,4.0,2.0
S1034,COURSE1034,Fall 2024,B,3.0,
S1034,COURSE1016,Spring 2025,C,2.0,
